f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,label
-416.58465576171875,146.89134216308594,-1.8771473169326782,4.492424964904785,27.960895538330078,21.658823013305664,-9.276378631591797,-4.219111919403076,-2.516199827194214,-2.850963830947876,-2.1820287704467773,-1.564173698425293,3.1171047687530518,-7.0861945152282715,-5.443310260772705,2.3216359615325928,0.7624363303184509,-4.350032806396484,-1.0243545770645142,3.1552417278289795,-3.224194288253784,-4.121376991271973,-0.006453548092395067,-2.848078727722168,-4.886102199554443,-2.416987419128418,0.46549326181411743,-2.7942328453063965,-5.343405723571777,-2.301447629928589,0.15137113630771637,-0.372074156999588,-3.336193799972534,-0.811783492565155,-0.6070300936698914,-2.6752376556396484,-0.9200599789619446,0.8321800827980042,-1.9847711324691772,-3.2430267333984375,0.5946184396743774,0.615744411945343,0.5138356685638428,0.4132898449897766,0.39418506622314453,0.417928546667099,0.4285149574279785,0.46551936864852905,0.5200117230415344,0.5108713507652283,0.5163668990135193,0.5242748856544495,-0.009693380325171745,0.020081383530988362,-0.02044047660636904,0.07480206927416679,-0.0014739979298282033,-0.011039490823085734,Afraid
-416.8547058105469,141.41815185546875,12.219562530517578,3.423166275024414,20.46170997619629,11.199250221252441,-8.031479835510254,-0.5347656607627869,-0.024794558063149452,-2.285946846008301,0.3830655813217163,4.956052780151367,3.5898356437683105,-4.394800662994385,-0.21117347478866577,6.450784206390381,0.1856091022491455,-4.584603309631348,2.8762848377227783,0.5396469831466675,-6.906607151031494,-4.03279972076416,1.224172592163086,-1.960579514503479,-4.809154033660889,-3.234023332595825,-1.925044059753418,-1.118312120437622,-1.5369369983673096,-2.3212811946868896,-1.3348215818405151,-0.7589207887649536,-3.620276689529419,-1.939313292503357,-0.8633154630661011,-1.9836478233337402,-1.7855733633041382,-1.2933357954025269,-1.733877182006836,-2.068934202194214,0.5934067368507385,0.6164743900299072,0.5956791043281555,0.5586337447166443,0.4965917766094208,0.4599446654319763,0.40744099020957947,0.4080292284488678,0.4330008924007416,0.45342931151390076,0.4843858778476715,0.5444139242172241,-0.02378532821435268,-0.027205757253406793,-0.008364584078973003,0.05400061752673566,-0.009703505842972655,-0.011416888486177845,Afraid
-397.650146484375,135.0327606201172,15.644654273986816,23.286497116088867,25.969877243041992,24.528846740722656,-6.587623119354248,-2.2283272743225098,-2.447566509246826,-0.4724419116973877,-0.49410122632980347,-6.790837287902832,-7.150092124938965,-10.876785278320312,-4.06362771987915,0.05878616124391556,-4.01069450378418,-7.556133270263672,-1.1921675205230713,-0.2868606448173523,-5.537247657775879,-4.7487473487854,1.2933224439620972,-0.5497335195541382,-1.4752110242843628,-1.2147492170333862,-2.4590935707092285,-1.2844945192337036,-1.6541633605957031,-0.5908358097076416,-2.315720558166504,-2.1080992221832275,-2.3203279972076416,-0.38350120186805725,-0.6006642580032349,-2.7278404235839844,-1.7305649518966675,-0.02758670039474964,0.2414821833372116,-0.48290061950683594,0.6933660507202148,0.5235569477081299,0.35747644305229187,0.3032180964946747,0.28146347403526306,0.3102588653564453,0.35922709107398987,0.3885096609592438,0.3670842945575714,0.4594601094722748,0.5813658237457275,0.7493458986282349,0.00329645823619754,-0.02578540039536012,0.05610275899344067,0.0860118462690911,-0.009169771833374986,-0.000857685369782908,Afraid
-332.994140625,122.87255096435547,2.3587276935577393,19.163557052612305,25.599027633666992,22.46866798400879,-12.243616104125977,-4.130493640899658,1.8123701810836792,-1.6893399953842163,-3.2928009033203125,-5.314146041870117,-4.168692588806152,-7.736483097076416,-0.37781330943107605,1.1827113628387451,-1.977890133857727,-4.112226963043213,-2.430649757385254,-3.317876100540161,-3.3347227573394775,-1.915501594543457,-0.612540066242218,-3.2917659282684326,-4.552164554595947,-0.08944778144359589,-1.0037963390350342,-2.9915871620178223,-2.649428367614746,-1.705723762512207,-3.9625754356384277,-2.521193027496338,-2.435372829437256,-2.5417051315307617,-0.9994054436683655,-1.1228951215744019,-0.9821751117706299,-1.8786371946334839,-1.8279306888580322,-2.0233495235443115,0.5513648986816406,0.4938960373401642,0.41351935267448425,0.3957710862159729,0.41095036268234253,0.41617295145988464,0.38016319274902344,0.40637731552124023,0.4470334053039551,0.4729064404964447,0.5374934077262878,0.5691925883293152,-0.01111148427196385,-0.018978716198083015,0.0052145899749020145,0.043112534240337216,0.014266439554201597,-0.009591701002923605,Afraid
-466.2191467285156,86.19690704345703,22.9552059173584,12.90700912475586,8.909512519836426,6.240544319152832,-2.8367958068847656,-1.3556462526321411,1.140923023223877,0.3929019272327423,-2.7083303928375244,-2.53790283203125,0.2815231382846832,-0.15420489013195038,0.36611831188201904,1.654691219329834,1.5076578855514526,1.1463044881820679,1.5688904523849487,1.4720146656036377,2.2348766326904297,-0.287333607673645,-0.7739883065223694,-0.5938395261764526,-0.8332804441452026,-0.0013995880726724863,-0.11568596959114075,0.44179195165634155,1.0657367706298828,1.199216365814209,0.2235727459192276,0.037800133228302,-0.7101173996925354,-0.06430713832378387,0.41179516911506653,-0.6120166182518005,-0.4330533742904663,0.1746518760919571,-0.8693879842758179,-0.613282322883606,0.5226587653160095,0.5562242269515991,0.45094579458236694,0.449940949678421,0.44618645310401917,0.4294635057449341,0.39595210552215576,0.3897477686405182,0.4610360860824585,0.44842320680618286,0.386495977640152,0.39513835310935974,-0.06042635711411626,-0.006988935820760111,0.007298177821521383,0.09695268247989879,0.0049607832496994225,-0.02895987517256552,Afraid
-418.7931213378906,148.7111358642578,20.636323928833008,8.66072940826416,11.259903907775879,9.680163383483887,-9.717193603515625,-7.020183563232422,0.3610456883907318,-1.5649248361587524,-5.906954288482666,-6.785183906555176,-1.2957775592803955,-5.123599052429199,-5.397195816040039,-3.075695753097534,-4.227223873138428,-3.2629847526550293,-0.4593539535999298,0.7122828960418701,-2.597757577896118,-2.940148115158081,1.680243730545044,-0.9374690651893616,-5.940173625946045,-3.3889999389648438,2.194145441055298,-0.6290265917778015,-4.155668258666992,-0.6763330698013306,-0.0692177340388298,-2.6789772510528564,-4.2062811851501465,-0.990817666053772,-0.7429138422012329,-2.986640453338623,-2.4491665363311768,-0.9683218002319336,-1.4208155870437622,-3.6411306858062744,0.4202080965042114,0.40966835618019104,0.3874914050102234,0.4529592990875244,0.5372080206871033,0.5837066769599915,0.4909433126449585,0.3430764079093933,0.29869651794433594,0.30301350355148315,0.2940933406352997,0.3358646333217621,-0.04261233819767358,0.007326498389175101,-0.09240584535167598,0.013319794930754842,-0.030345228906399492,-0.011079233512942885,Afraid
-374.6614074707031,104.44718170166016,2.012972831726074,28.390520095825195,14.208833694458008,10.455265045166016,-11.820669174194336,-0.7590455412864685,-6.284417629241943,3.408090591430664,0.871587336063385,-4.660183906555176,2.933420181274414,-2.3441550731658936,0.18125806748867035,-0.43966227769851685,-0.5358636975288391,-2.719592809677124,0.2952829599380493,-0.8916423916816711,-0.6443847417831421,-1.9488202333450317,0.6971696615219116,-0.5053420066833496,-3.9616873264312744,-0.7528155446052551,-0.47067660093307495,-1.6092759370803833,-3.704413652420044,0.19058749079704285,-1.1575051546096802,-3.169497013092041,-2.8414459228515625,-0.5852329730987549,-2.1491734981536865,-2.9245691299438477,-0.070951908826828,-1.515181064605713,-2.6733510494232178,-1.97927987575531,0.45074668526649475,0.43110495805740356,0.47985461354255676,0.5822204351425171,0.6292221546173096,0.6032373309135437,0.4879312217235565,0.38242486119270325,0.3386682868003845,0.3393959403038025,0.3293555676937103,0.39726805686950684,-0.037693264979783474,0.03391291773341924,-0.03954294406815539,0.03018736882888203,-0.02674101853535183,-0.003028589728493126,Afraid
-542.313232421875,34.998313903808594,2.794651508331299,-4.655642509460449,1.073533296585083,3.1762654781341553,-7.284566402435303,-0.8997308015823364,-5.377534866333008,0.2685041129589081,-3.457972764968872,-6.92482852935791,-1.4823460578918457,-2.076563835144043,-0.18329864740371704,0.5793061256408691,-1.006113886833191,-1.723176121711731,4.100746154785156,-1.846689224243164,-2.9163622856140137,6.502426624298096,6.346909523010254,9.553149223327637,15.321890830993652,12.287851333618164,9.588481903076172,5.807867527008057,1.7158936262130737,-0.9685854315757751,2.4249958992004395,0.19910293817520142,1.724670171737671,-0.13969755172729492,-2.20849347114563,0.4593222439289093,1.0253968238830566,-0.2726686894893646,0.05826814845204353,-0.4162536561489105,0.20804548263549805,0.26947978138923645,0.3252173364162445,0.22740799188613892,0.15740270912647247,0.16274908185005188,0.14635853469371796,0.13180311024188995,0.17101514339447021,0.1779213845729828,0.20229341089725494,0.19492018222808838,0.025211373094876345,0.04143327447098158,-0.07912581319881927,0.010499647299487198,0.0027524783368966096,0.006403950277470157,Afraid
-550.502685546875,39.3873291015625,9.0134916305542,-10.463935852050781,-5.902861595153809,4.433756351470947,-6.825372219085693,0.4809196889400482,-8.508706092834473,-0.2507135570049286,-8.485881805419922,-6.305583477020264,-2.1259357929229736,-0.6879003643989563,-0.7371622920036316,-2.801422357559204,0.6121407747268677,-1.9230215549468994,0.6504674553871155,-1.3276478052139282,-3.2490110397338867,6.328410625457764,11.448552131652832,11.344244003295898,17.591073989868164,15.154927253723145,8.63803768157959,3.8029048442840576,1.9237698316574097,-0.18258163332939148,2.3708086013793945,0.335269957780838,-0.1084691658616066,-0.3059068024158478,-3.1527764797210693,0.785694420337677,1.3347232341766357,-1.8992652893066406,-0.827235758304596,-0.5382081270217896,0.22888398170471191,0.3121941089630127,0.2956737279891968,0.16875234246253967,0.11712247878313065,0.09163005650043488,0.05877980962395668,0.06510372459888458,0.10317863523960114,0.16499027609825134,0.13545633852481842,0.16077227890491486,-0.007778183675478903,0.057170077797169205,-0.09582383286680053,-0.011333083242385071,0.00677500695730219,0.020033978190945666,Afraid
-535.5093383789062,24.22391700744629,7.879404067993164,3.756643533706665,4.671372890472412,2.2162230014801025,-8.274889945983887,-1.0757335424423218,-7.457210063934326,-0.10146204382181168,-7.5816521644592285,-7.717775344848633,-1.7940576076507568,0.10197713971138,0.8320931196212769,0.4911040663719177,-0.040485382080078125,0.9115273952484131,0.44019949436187744,-1.6499898433685303,-1.7240347862243652,4.396387100219727,7.955270767211914,12.07284927368164,17.28376579284668,16.053525924682617,7.62014102935791,3.720404624938965,2.3782060146331787,-0.9453063607215881,3.071044683456421,2.732189655303955,1.227342128753662,-0.8234260678291321,-2.8359267711639404,-0.8638629913330078,2.1547558307647705,-0.35345494747161865,-1.340659499168396,-2.806781053543091,0.28268635272979736,0.4214402437210083,0.37222322821617126,0.22300904989242554,0.1362799108028412,0.12373903393745422,0.12166501581668854,0.13223694264888763,0.15293367207050323,0.17623738944530487,0.1724969446659088,0.18653684854507446,0.017457943603707334,0.044417700712772186,-0.08416812654144862,-0.03503438323645653,-0.0007456628243024686,0.0016264056361655508,Afraid
